news ID,url,title,time,content,LogisticRegression_score,MultinomialNB_score,DeepLearning_LSTM_score,Sum,emotion_sum,emotion,DeepLearning_emotion
apl201707130140000,http://www.appledaily.com.tw/realtimenews/article/international/20170713/1159895/男努力工作猝死　妻2個月後和小叔同居,男努力工作猝死　妻2個月後和小叔同居,2017/07/13 01:40,英國薩默塞特郡（Somerset）一名女子不滿丈夫上班時間過長，連續多天工作16小時，不但與他大吵一場，還趕他去客廳睡沙發。不料，隔天一早卻發現丈夫暴斃。更慘的是，她發現丈夫辛勞工作，原來是為了儲錢，帶她去旅行，慶祝結婚周年。阿什莉（Ashley Murrell）與36歲丈夫默雷爾（Mikey Murrell）結婚七年，育有三名兒女。默雷爾是地毯清潔員，死前常超時工作，每晚回家已筋疲力盡。今年5月16日，默雷爾在工作16小時後，又帶著一臉倦容回家，阿什莉不滿丈夫只顧工作，忍無可忍主動與他吵架，再趕他去睡沙發。但隔天早上，阿什莉發現丈夫毫無反應，臉如死灰，原來已經暴斃。當下，她驚惶失措地不斷大叫：「他死了！默雷爾死了。」驗屍結果指，默雷爾是在睡夢中窒息死亡，原因無法確定。阿什莉後來發現，丈夫連續超時工作，試想賺夠錢，於7月3日「結婚周年」時，帶她去布拉格旅行慶祝。她說：「我很內疚。我埋怨自己趕他到客廳睡沙發。我仍無法接受，對他最後說的居然是滿口惡言。」但阿什莉也指，丈夫工作時間太長，「總是筋疲力倦，他的健康也急速變差」。她還辯稱，人生苦短，（丈夫）沒必要把怒氣帶入夢鄉。不過阿什莉喪夫後，獲小叔克里斯（Chris Murrell）安慰和陪伴，兩人迅速發展出戀情。克里斯還為她離婚，決定代替已故的哥哥，照顧阿什莉。（國際中心／綜合外電報導）【相關新聞】「男朋友」病逝 母豬不願離開墳前,0.0485171878922,-0.999999999996,0.999939,0.0484562719489,Positive,Positive,1
apl201707130131000,http://www.appledaily.com.tw/realtimenews/article/sports/20170713/1159893/【溫網】費德勒復仇加拿大重砲　不失一盤晉男單4強,【溫網】費德勒復仇加拿大重砲　不失一盤晉男單4強,2017/07/13 01:31,前世界球王、世界第5費德勒(R.Federer)，今凌晨在溫網男單8強再度對上去年溫網讓他在男單4強吞敗的世界第7加拿大重砲饒尼奇(M.Raonic)，費德勒以0被破發的完美表現，以直落三打敗饒尼奇，完成甜密復仇後晉4強，也成為唯一1位Big 4晉級到四強的球星。饒尼奇的重砲發球，可以說是費德勒的天敵，雖然兩人先前交手12次，費德勒以9比3領先，但最近兩次對決，包括去年布里斯本和溫網，饒尼奇已經對費德勒打下二連勝。費德勒在今年打下澳網冠軍後氣勢大振，雖然戰略因素放棄紅土法網，但也讓他在今年溫網打的順風順水，前兩盤共三度破發，順利以6比4、6比2取得領先，第三盤雙方僵持互保都沒被破發下，取得6比6平手搶七，費德勒在一開始0比2落後下逆轉以7比4拿下勝利晉級4強。(詹健全／綜合報導)小編推薦閱讀【溫網】英國一姊孔塔粉碎哈蕾普世界第1美夢　下周新球后誕生【有片】林子偉表現佳　美媒列紅襪令人驚奇球員第2名女桌世界第4是黃曉明表妹　受訪自爆男友是.......TLPGA台灣大哥大女子公開賽R1　姚宣榆、魏筠潔並列領先  ,0.930519389157,-0.859245917271,1.0,1.07127311426,Positive,Positive,1
apl201707130127000,http://www.appledaily.com.tw/realtimenews/article/local/20170713/1159880/​3壯碩逃逸外勞拒盤查　警噴辣椒水壓制,​3壯碩逃逸外勞拒盤查　警噴辣椒水壓制,2017/07/13 01:27,（新增：影片）基市警局第一分局忠2路派出所員警，昨日晚上近10時許，巡邏至精一路時，看見一輛廂形車停在路旁，後座有3位外勞，形跡可疑，警方上前盤查時，3位體型壯碩外勞不願配合臨檢，並企圖脫逃，與警方發生拉扯，現場員警緊急呼叫線上警網支援，引起不少路人圍觀，民眾拍下當時畫面，提供給《蘋果》。因3名外勞極力掙脫，警方拿出「辣椒水」的防護型噴霧劑，往3人噴射，由於距離太近，又拉扯在一起，不僅外勞被辣椒水噴到，也有3位員警的皮膚、眼睛，分別因沾到噴辣椒水，出現紅腫傷勢，經到醫院清洗後，已無大礙，警方將3名外勞載往移民署基隆專勤隊，確認3人都是越南籍逃逸外勞，警方正連絡雇主到案說明。（突發中心蔡進男／基隆報導）發稿0010更新0127《蘋果日報》表示，本則影片或照片是投訴人獨家提供《蘋果日報》，若其他媒體未取得授權逕行翻攝，也未註明出處，《蘋果》必訴諸法律，以保障權益。 《蘋果日報》歡迎讀者加入監督社會，向《蘋果》獨家提供照片、影片，經採用可獲獎金，照片一千，影片兩千元，每周點閱數最高，更可獲獎金三萬元，請參考活動網址：http://www.appledaily.com.tw/complainevent/推薦閱讀：【打臉片】​男違規吃罰單批警「硬凹」　這段影片狠打臉【好壯觀】新北鐵腕拖吊oBike　新莊395輛位居第一【惡劣片】花蓮天空步道試營運2周　竟遭男子惡意擊碎 ,0.236717792645,-1.0,0.999993,0.236710759297,Positive,Positive,1
apl201707130123000,http://www.appledaily.com.tw/realtimenews/article/sports/20170713/1159892/【溫網】喬帥二盤傷退棄賽　博蒂奇晉男單4強,【溫網】喬帥二盤傷退棄賽　博蒂奇晉男單4強,2017/07/13 01:23,溫布頓網球錦標賽今在男單頻頻讓人跌破眼鏡，在穆雷(A.Murray)8強出局後，原本有機會爭冠重返世界球王的世界第4喬克維奇(N.Djokovic)，凌晨在男單8強對上世界第15的捷克球星博蒂奇(T.Berdych)時，沒想到打了僅63分鐘，在6(2)7、0比2落後下，宣布因傷退賽，博蒂奇連續兩年晉溫網男單4強，但更重要的是，穆雷的世界球王寶座也確定將可以在下周暫時保住，但未來還是有艱巨的保分壓力。(詹健全／綜合報導) 小編推薦閱讀【溫網】英國一姊孔塔粉碎哈蕾普世界第1美夢　下周新球后誕生【有片】林子偉表現佳　美媒列紅襪令人驚奇球員第2名女桌世界第4是黃曉明表妹　受訪自爆男友是.......TLPGA台灣大哥大女子公開賽R1　姚宣榆、魏筠潔並列領先 ,0.423036035031,-0.870447673793,1.0,0.552587884401,Positive,Positive,1
apl201707130050000,http://www.appledaily.com.tw/realtimenews/article/entertainment/20170713/1159890/泰國墜馬傷後176天　華仔復工啦！,泰國墜馬傷後176天　華仔復工啦！,2017/07/13 00:50,劉德華（華仔）今年1月17日在泰國拍廣告墜馬，導致脊椎及骨盆裂傷，工作停擺超過半年，先前港星任達華、黃秋生訪台也都透露他復原狀況良好，就在他傷後176天的昨晚，他終於在官網PO出復工照，表示正為新片《俠盜聯盟》配音，還不忘問候粉絲：「想起你們！你們好嗎？你們好我就安心了！」導演馮德倫也在他官方微博回應「辛苦了」，也讓他的粉絲們終於放下心中大石。華仔自傷後修養多時，3月終於可以下床拄拐杖走路，日前也被香港《蘋果》拍到他出席《桃姐》監製陳佩華追思會，之後他時不時會在官網發文與粉絲互動，就怕粉絲過於擔心。他先前因傷取消年底20場香港紅館個唱、以及小巨蛋演唱會，上月初也在官網發聲明，表示年底將公布明年演唱會的詳情，昨又見他復工，可見痊癒之路不遠了。（楊絲貽／綜合報導）【大家都在看】【獨家控訴】8點檔女星叫檯還咬人　男公關出面控白玩(動畫)【泡牛郎風波】劉曉憶41歲剩女忙於減重　高中熱戀張兆志【live名人大平台】今晚8點黃子佼PK陳孫華　掏寶貝尬潮味,0.0933842332598,-0.9998705184,0.999981,0.0934946413733,Positive,Positive,1
apl201707130048000,http://www.appledaily.com.tw/realtimenews/article/sports/20170713/1159888/林子偉最愛家鄉烤吳郭魚　國小就立誓赴美打球,林子偉最愛家鄉烤吳郭魚　國小就立誓赴美打球,2017/07/13 00:48,上月底甫從2A登上美國大聯盟的台灣棒球好手林子偉，因為打擊、守備表現亮眼，被球迷封為「海嘯哥」並成為新生代台灣之光。《蘋果》昨由國道十號末端的高雄旗山，一路沿省道台29線北上，車行約1個多小時後，終於到達台29線起點的林子偉故鄉，孕育「布農族海嘯哥」的那瑪夏區達卡努瓦里。林子偉的阿嬤等家人見記者上門還感到有些詫異，不過對於「家族之光」，最終難掩雀躍。林子偉的阿嬤回憶，子偉小學時就曾誇下海口，說要帶著家人到美國看他打球，如今子偉實現夢想，家族親友也盼有一天能夠組團前往大聯盟球場為林子偉加油。林的阿嬤回憶，當時林就向她跟阿公許下豪願「我要到美國打球」。當時阿公鼓勵林「只要你有才華就去做」，林子偉並向老人家承諾「要帶你們去看我打球」，如今林子偉終於實現兒時夢想，但也不免感傷「可惜阿公沒辦法去了」。家人說，林的阿公4年前在子偉到美國打球的第一年就過世，當時林放下在美國的訓練工作回台奔喪，可見他與阿公感情相當深厚。林子偉的姑姑則說，雖然阿公已不在，但其他家人仍期待有一天能夠組團前往美國為這位「家族之光」、「那瑪夏之光」、「布農族之光」、「台灣之光」加油打氣。姑姑笑說，由於家族人數眾多「可能要包一輛遊覽車才載得下」。姑姑還說，家人們只要知道林要回來，就會準備林最愛的烤肉，「他應該最懷念台灣的烤吳郭魚吧！」（劉智維／高雄報導） ,-0.9735576804,-0.999999975342,-0.375017791986,-2.34857544773,Negative,Negative,-1
apl201707130031000,http://www.appledaily.com.tw/realtimenews/article/strange/20170713/1159873/【愛飛遜】UNIQLO愛科技打造舒適生活提案,【愛飛遜】UNIQLO愛科技打造舒適生活提案,2017/07/13 00:31,2017年秋冬UNIQLO持續以LifeWear品牌理念結合源自日本的製衣技術，將品牌精神體現在無論設計、材料、縫製，或是版型與色彩上。一貫簡約風格是因為對品牌而言個性並非展現在單品本身，而是由穿衣者賦予服飾全新定義。不只著眼於現代人對時尚的追求更敏銳地了解潛藏在日常生活中的需求，引進創新技術顛覆服裝的刻板印象為現代人帶來更舒適、便捷的生活。(賴姿穎/台北報導)想看更多蘋果副刊流行及美容資訊，快加臉書社團「蘋果花愛漂亮」小編推薦【鮮奇片】看過嗎？ 台灣有這麼多像藝術品的植物種子【排行片】Tomod’s彩妝Top5 第二名補貨就架空【爽玩片】暑假出遊 這幾樣一定要帶！ ,0.936241482532,0.9992209005,0.999874,2.93533602119,Positive,Positive,1
apl201707130030000,http://www.appledaily.com.tw/realtimenews/article/strange/20170713/1159750/【想買】日系療癒商品陪你上班,【想買】日系療癒商品 陪你上班,2017/07/13 00:30,專開發療癒商品的日商「Shine」，曾推出「鈔票碎紙機」、「喵喵儲金箱」和「3D泡泡機」等人氣商品，今年初發售的「奧曼特銀行」更掀起搶購熱潮，7/5建立官方粉絲團後，隨即公布兩項新商品的介紹影片。「桌上型清潔機器喵」(ルンルンクリーニャーD)像是縮小版的掃地機器人，上面還坐了一隻喵喵，可清潔桌面灰塵和細屑，遇到牆面會自動轉向，也有防摔落功能，摸喵喵額頭一下會轉向並發出貓叫聲，若摸超過一秒喵喵則會頭暈轉圈圈。「向日葵銀行」(FlowerBank)則是向日葵造型的存錢筒，有黃色和粉色兩種顏色，每次投幣都會跟你對話，按兩下澆水器會進入對話模式，除了對任何聲響有反應之外，還會唱日本311賑災活動主題曲《花朵綻放》(花は咲く)，按三下則會進入跳舞模式。兩項商品都預計今年10月販售，暫定售價日幣2480元(約新台幣665元)，想要辦公桌有喵喵和向日葵的陪伴，可上官網查詢販售訊息。(賴俊佑/綜合報導)資料、圖片來源：SHINE、itmedia小編推薦【鮮奇片】看過嗎？ 台灣有這麼多像藝術品的植物種子【排行片】Tomod’s彩妝Top5 第二名補貨就架空【爽玩片】暑假出遊 這幾樣一定要帶！ ,0.668020445216,-0.999979948249,0.999593,0.667633456848,Positive,Positive,1
apl201707130028000,http://www.appledaily.com.tw/realtimenews/article/animal/20170713/1159734/猜看看這隻柴犬是真的還是假的？,猜看看 這隻柴犬是真的還是假的？,2017/07/13 00:28, ＊yomoko888＊羊毛フェルト＊needlefelt（@yomoko888）分享的貼文 於 2017 年 6月 月 30 6:27下午 PDT 張貼這隻柴犬好可愛，不少網友留言想抱抱牠，IG「yomoko888」7/1上傳一支影片引起網友熱烈討論，有隻黑色柴犬站桌上動也不動，多角度拍攝乍看下是一隻真的柴犬，但其實是羊毛氈做成的，影片超過8.9萬人分享，由於太過於逼真，不少網友驚呼：「這是標本吧」、「時間停止了」、「眼睛乾不乾？」。這隻驚人的創作來自北海道Yomoko的手藝，除了會在IG或Twitter分享其他羊毛氈作品外，也有在拍賣網販售。(賴俊佑／綜合報導)資料、圖片來源：IG/yomoko888、Twitter/ yomoko888＊羊毛フェルト＊更多內容，請上毛愛蘋果粉絲團推薦閲讀【麻吉片】曾經是戰鬥犬的牠 竟跟倉鼠變成好麻吉【幫助片】南非長尾猴擺脫汙名　終順利成長【救援片】流浪狗受困　救援人員耐心解救 ,0.70039245246,-0.979981343489,1.0,0.720410751344,Positive,Positive,1
apl201707130028001,http://www.appledaily.com.tw/realtimenews/article/strange/20170713/1159760/女人的臉龐也能這樣詮釋,女人的臉龐也能這樣詮釋,2017/07/13 00:28,向來與藝術關係密切的時裝品牌PRADA，今年再次與瑞典藝術家Liselotte Watkins合作，推出全新包款Cartella，藝術家利用立體派幾何抽象的方式詮釋女人的臉龐，象徵著女性多變的面貌，而設計師Miuccia Prada女士試圖透過藝術家的作品探討女性主題，表達了她對於當代女性在不同情境裡的自我個性與思維的關注。(簡永昌/台北報導)圖片/品牌提供想看更多蘋果副刊流行及美容資訊，快加臉書社團「蘋果花愛漂亮」小編推薦【鮮奇片】看過嗎？ 台灣有這麼多像藝術品的植物種子【排行片】Tomod’s彩妝Top5 第二名補貨就架空【爽玩片】暑假出遊 這幾樣一定要帶！ ,0.828454849885,-0.732280613935,0.999862,1.0960363108,Positive,Positive,1
